SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL"
TOOL-STRIP,"Linkbasic UTP Cable Stripper Tool",51,55,9,115,30,40,Linkbasic,https://scoop.co.za/download/marketing/images/TOOL-STRIP.jpg
TOOL-TEST,"Linkbasic UTP Cable Tester",34,148,56,238,125,175,Linkbasic,https://scoop.co.za/download/marketing/images/TOOL-TEST.jpg
TR-MTCNA,"MikroTik Certified Network Associate",0,0,0,0,6495,8295,Scoop,https://scoop.co.za/download/marketing/images/TR-MTCNA.jpg
TR-UBWA,"Ubiquiti Broadband Wireless Admin Training (Advanced Level)",0,0,0,0,3495,4475,Scoop,https://scoop.co.za/download/marketing/images/TR-UBWA.jpg
TR-UBWS,"Ubiquiti Broadband Wireless Specialist Training (Entry Level)",0,0,0,0,1695,2175,Scoop,https://scoop.co.za/download/marketing/images/TR-UBWS.jpg
TR-UFSP,"UniFi Full Stack Professional",0,0,0,0,1695,2175,Scoop,https://scoop.co.za/download/marketing/images/TR-UFSP.jpg
TR-URSCA,"UniFi Routing, Switching and Cyber Security Admin",0,1,0,1,4995,6745,Scoop,https://scoop.co.za/download/marketing/images/TR-URSCA.jpg
TR-UWA,"UniFi Wireless Admin Training",0,0,0,0,4995,6745,Scoop,https://scoop.co.za/download/marketing/images/TR-UWA.jpg
TUB-AU,"38mm Aluminium Pole / Mast 2M",148,70,21,239,175,250,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUB-AU.jpg
TUB-AU3,"50mm Aluminium Pole / Mast 3M",9,0,0,9,750,1025,"Locally Sourced",https://scoop.co.za/download/marketing/images/TUB-AU3.jpg
